ID,Date,URL,Source,Entreprise,Titre,Technologies,Diplôme,#année expérience,Competences
11,20.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur%20Web&start=10&vjk=9274342f8d27c501,emplois.indeed.ch,Blancpain SA,Développeur PHP / Responsable applicatif,"PHP, HTML5, CSS3, JQuery, Drupal 7/8, REST / SOAP / Json ",Bachelor,-,"Anglais, Linux"
12,27.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur%20Web&start=10&vjk=06a9e233020a1731,emplois.indeed.ch,Virtua,Développeurs Web,"PHP, MySQL, Symfony / ZEND, JS",école d'informatique reconnue,1-3,Analyse et architecture
13,28.11.2017,https://www.jobs.ch/en/vacancies/detail/7859869/?source=vacancy_search,jobs.ch,SonarSource SA,Product Manager - Source Code Analyzers,"C, C++, Java, SQL, .NET, JavaScript",Pas indiqué,-,"Anglais, Abilité à changer de contexte, gestion d'équipe, positive attitude"
14,29.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=&cantons=VD&keywords=d%E9veloppeur#1/1403041,,Helvetica Partners,Développeur ASP.Net,"C#, ASP.NET MVC, Entity Framework, WebApi, Jquery, JS, CSS, Bootstrap,REST, JSON, HTTP",HES / EPF ,3 ans,
15,29.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#1/1402916,jobup.ch,Academic Work,Développeur logiciel sur sharepoint - poste fixe à 100%,"Office 365, sharepoint,azur",diplome orienté IT,2 ans,"Français courant, anglais courant, autonome, orienté client, proactif, interet pour les nouvelles technologies"
16,22.11.2017,https://www.jobs.ch/en/vacancies/detail/7875966/?source=vacancy_search_promo,jobs.ch,Page Personnel,Développeur Python (h/f),"Python, SQL, PostgreSQL, JavaScript, ERP",Pas indiqué,-,"Anglais, Linux, Orienté objet, gestion de projet, Agile"
17,26.11.2017,https://www.linkedin.com/jobs/view/525802168/?recommendedFlavor=true&refId=12085161512132871037&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BBY6%2FrWI4S2SFseaC0ZIefg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_jobs-A_jobssearch_job_result_click&lici=Kwfm6pZBR%2BO5eN6GyxopwA%3D%3D,Linkedin,CampToCamp,Développeur Python,"Python, SQL, PostgreSQL, JavaScript, ERP, Linux, Odoo",Master,2,"Motivé, soucieux des détails, sérieux, logiciels libres, conception, développement logiciel, français, anglais, allemand"
18,13.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur%20Web&start=10&vjk=5a5dd79dd8e3454e,emplois.indeed.ch,bruederlinpartner,"Développeur Java EE confirmé – Mobile et Web (Spring, Hibernate)","Java EE, Spring, Hibernate, GIT, WebService, APIAutres: SQL, MySQL, HTML, CSS, Node.js ",Bachelor,3,Anglais
19,30.11.2017,https://www.jobs.ch/en/vacancies/detail/7872027/?source=vacancy_search,jobs.ch,Crane Payment Innovations CPI,Web UI Software Engineer,"AngularJS, React, ViewJS, HTML5, CSS3, JavaScript, Java8",Master ou expérience équivalente en logicielle,2,"Design pattern, Git, Test driven, Agile, Anglais"
20,26.11.2017,https://www.linkedin.com/jobs/view/524318414/?recommendedFlavor=true&refId=12085161512132871037&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BBY6%2FrWI4S2SFseaC0ZIefg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_jobs-A_jobssearch_job_result_click&lici=t%2F7YQ%2BhpSUGRhbIobWIU4w%3D%3D,Linkedin,Gastrojobs,Développeur C#/Administrateur Junior,"C#, MSSQL, Active Directory, SQL Serveur",CFC minimum,1,"sens du service, initiative, autonomie"
21,29.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#1/1402847,jobup.ch,Hortis,Ingénieur de développement Java et Web (H/F),"Java, framework Spring(MVC, Security, Batch, Core, Intégration...), Hibernate,  HTML5, CSS, Javascript, Angular JS, Angular 2 ","Formation IT (Master, HES, EPFL) ou titre équivalent",3-5 ans,"Agile, scrum, kanban, esprit d'équipe, autonome, passioné, français, anglais"
22,17.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=10&vjk=6d290e29cab41abd,emplois.indeed.ch,Erni,Software Engineer Mobile,"Objective-C, SWIFT, Android, UML, HTML5, CSS3, JS",université ou HES,-,Anglais
23,28.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#1/1402390,jobup.ch,Helvetica Partners HR Solutions,Développeur .NET,"ASP.Net et/ou C#.Net et/ou VB.Net, SQL Server ",formation Ingénieur,3.-5 ans,"Anglais courant, autonome,proactif, rigoureux, bon esprit d'équipe"
24,15.11.2017,https://www.linkedin.com/jobs/view/479452615/?recommendedFlavor=true&refId=12085161512132871037&trk=d_flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BBY6%2FrWI4S2SFseaC0ZIefg%3D%3D&licu=urn%3Ali%3Acontrol%3Ad_flagship3_search_srp_jobs-A_jobssearch_job_result_click&lici=D%2FLARpNNR9mcVa3Q5dwXkg%3D%3D,Linkedin,Buzz Brothers,Drupal Backend Developer,"Laravel, Drupal, Magento, Wordpress, Agile",,,Anglais
25,01.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=20&vjk=b18c069171f04c91,emplois.indeed.ch,Edsi-tech,Développeur Android,"POO, REST (JSON / XML), Android, PHP5, Java, Jquery, HTML5, CSS3, Linux, GIT, Symfony 2 est un plus",Ingénieur,-,Anglais
26,27.11.2017,https://www.jobs.ch/en/vacancies/detail/7884117/?source=vacancy_search,jobs.ch,Geosatis SA,Devops Leader,"Python, Ruby, Node.JS, Java, C, C++, Docker",Master ou Bachelor de préférence,5,"Anglais, Test, Gestion de projet, Agile, Ubuntu, Debian, DB"
27,27.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=20&vjk=551c205d7379d897,emplois.indeed.ch,EOTIM,Ingénieur Développement PHP,"PHP objet (MVC), JS (Angular, Jquery), MySQL, GIT, Dockers, Kubernetes",BAC+4/5,"""Vous justifiez d'une première expérience""",Anglais
28,27.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#1/1402130,jobup.ch,Qim info,Développeur .NET,".NET : Microsoft .Net 4.5, MVC 5, Entity Framework, Web API (REST),HTML5, CSS3, Javascript/JQuery, Angural 2/4, Unity (IoC),Telerik, WCF et WPF","EPF, HES/ETS ou equivalent",-,"anglais, français courant, bonne connaissance des DP, "
29,01.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=20&vjk=56415fbf8a9827fe,emplois.indeed.ch,Extia,Développeur JAVA - Banque - Méthodologie Scrum,"Technologies java, Swing ou équivalent, Spring",ETS/EPF,5,Anglais
30,27.11.2017,https://www.jobs.ch/en/vacancies/detail/7883265/?source=vacancy_search,jobs.ch,SonarSource SA,Web Developer,"JavaScript, Java, CSS, HTML",Pas indiqué,-,"Agile, Gestion de projet, Orienté objet, Test (Unitaires, fonctionnels, intégration continue)"
31,01.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=70&vjk=2df29716d306ac8c,emplois.indeed.ch,Prime IT,DÉVELOPPEUR SÉNIOR JAVA,"JEE 7, Java 8, Angular 2",Idéalement ingénieur,5,
32,01.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=40&vjk=b0142fded45ffbb7,emplois.indeed.ch,AiM Services SA ,Développeur Java Confirmé,"Java (J2EE), EJB3, JPA, Hibernate, Wing, Serveurs applicatifs, Tests unitaires / intégrations, GIT, intégration continue, SCRUM, Web services",EPFL / Equivalent,5,Anglais
33,23.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#1/1400765,jobup.ch,Agenda,Lead développeur Full-Stack,PostgreSQL / Angular / RestFul API / Git / React,"HES, EPF ou équivalent",3,"Langue maternel française et bonne connaissance anglais, autonome, esprit d'équipe, bonne communication"
34,27.11.2017,https://www.jobs.ch/en/vacancies/detail/7875808/?source=vacancy_search,jobs.ch,CRPM,Développeur(se) Javascript,"HTML, React, JavaScript, Git",Pas indiqué,-,"Anglais, Git, Gestion de projet, Jira, Bitbucket, Design, Test"
35,?,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#1/1400338,jobup.ch,Amaris,Développeur Drupal,"Drupal, PHP",diplôme d'ingénieur ou universitaire équivalent (BAC  5),3,"Aptitude à communiquer avec le client & sociable, autonomie, "
36,22.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=80&vjk=f7b2c4aad3801156,emplois.indeed.ch,Krown,Développeur iOS,"Swift, environnement Apple, objective-c un plus",-,1,Anglais B2 mini
37,27.11.2017,https://www.jobs.ch/en/vacancies/detail/7883013/?source=vacancy_search,jobs.ch,Clever Net Systems,Ingénieur en développement PHP,"PHP 5/7, Symfony 2/3, Linux, Wordpress, MySQL, ElasticSearch, Git, Redmine, Javascript, PHPUnit, Composer, APIs REST",Master ou diplôme d'ingénieur,-,"Bonne humeur, curieux, autonome, anglais, linux, gestion de projet"
38,22.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#2/1400323,jobup.ch,une.ch,Développeur Frontend PHP,"PHP, MySQL, CSS , JavaScript, LARAVEL ou autres framwork MVC (Symfony, Zend), Vue.js ou autres Web framework (AngularJS, React, ...), HTML5,CSS3/Sass/Less/Stylus,Tweenmax,Gulp/Webpack, Jquery, Photoshop, Illustrator, Social API (Open Graph, Instagram, Twitter, Google) ",ES dev ou équivalent,3,"dynamique rapide, vif, flexible, autonome et force de proposition, gérer un budget"
39,30.11.2017,https://emplois.indeed.ch/emplois?q=D%C3%A9veloppeur&start=90&vjk=665eff4a80258394,emplois.indeed.ch,Helvetica Partners,Développeur ASP.Net,"Framework .NET, ASP.NET MVC, C#, Entity Framework, WebApi, Jquery, JS, CSS, Bootstrap, REST, JSON , HTTP",HES / EPF,3,
40,21.11.2017,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#2/1400017,jobup.ch,Agentil,Développeur Java JEE,"SQL, d’IHM web (HTML, CSS, Ajax, Javascript, Angular…)",,5,"Bonne expérience dans les bases de données relationnelles, Bonnes capacités rédactionnelles,  français et l’anglais (bon niveau exigé)  "
41,1.12.2017,https://www.jobs.ch/en/vacancies/detail/7849105/?source=vacancy_search,jobs.ch,TechAgency,Senior Application Engineer Java,JAVA,Pas indiqué,-,"Gestion de projet, gestion d'équipe, anglais"
42,,https://www.jobup.ch/search/joblist.asp?cmd=showresults&mode=home&addcriterias=&categories=11&cantons=GE&keywords=d%E9veloppeur#2/1398978,jobup.ch,,Developpeur BI/,"SQL, SSRS, scripting Business analyse",,3,Anglais courant
